Date,Site,Equipment_ID,Trip_No,Distance_km,Load_m3,Fuel_Liters
2025-01-01,zambales,Zam-DT-1,1,2.12,20,5.77
2025-01-01,zambales,Zam-DT-1,2,2.64,20,6.65
2025-01-01,zambales,Zam-DT-1,3,4.78,20,14.77
2025-01-01,zambales,Zam-DT-1,4,2.12,20,5.7
2025-01-01,zambales,Zam-DT-1,5,2.7,20,7.91
2025-01-01,zambales,Zam-DT-1,6,2.71,20,9.33
2025-01-01,zambales,Zam-DT-1,7,4.3,20,18.02
2025-01-01,zambales,Zam-DT-1,8,6.93,20,18.0
2025-01-01,zambales,Zam-DT-2,1,2.39,20,9.05
2025-01-01,zambales,Zam-DT-2,2,1.97,20,8.35
2025-01-01,zambales,Zam-DT-2,3,2.3,20,9.16
2025-01-01,zambales,Zam-DT-2,4,4.92,20,20.16
2025-01-01,zambales,Zam-DT-2,5,1.19,20,3.52
2025-01-01,zambales,Zam-DT-2,6,5.23,20,13.99
2025-01-01,zambales,Zam-DT-2,7,1.18,20,3.79
2025-01-01,zambales,Zam-DT-2,8,4.54,20,11.82
2025-01-01,zambales,Zam-DT-3,1,1.39,20,3.6
2025-01-01,zambales,Zam-DT-3,2,3.37,20,12.93
2025-01-01,zambales,Zam-DT-3,3,2.19,20,9.31
2025-01-01,zambales,Zam-DT-3,4,3.59,20,13.42
2025-01-01,zambales,Zam-DT-3,5,2.74,20,10.22
2025-01-01,zambales,Zam-DT-3,6,6.72,20,22.82
2025-01-01,zambales,Zam-DT-3,7,2.24,20,7.51
2025-01-01,zambales,Zam-DT-3,8,3.67,20,12.9
2025-01-01,zambales,Zam-DT-4,1,4.15,20,10.73
2025-01-01,zambales,Zam-DT-4,2,1.99,20,6.77
2025-01-01,zambales,Zam-DT-4,3,5.25,20,21.29
2025-01-01,zambales,Zam-DT-4,4,5.66,20,19.84
2025-01-01,zambales,Zam-DT-4,5,6.74,20,21.32
2025-01-01,zambales,Zam-DT-4,6,3.89,20,15.55
2025-01-01,zambales,Zam-DT-4,7,6.15,20,20.47
2025-01-01,zambales,Zam-DT-4,8,6.09,20,20.64
2025-01-01,zambales,Zam-DT-5,1,5.29,20,13.31
2025-01-01,zambales,Zam-DT-5,2,1.15,20,5.04
