Date,Site,Process,Equipment_ID,Output_m3,Process_Cost_PHP,Labor_Cost_PHP,Fuel_Liters
2025-01-01,zambales,Loading,Zam-EX-L1,349,0,1400,96
2025-01-01,zambales,Loading,Zam-EX-L2,442,0,1400,99
2025-01-01,zambales,Drilling,Zam-DR-1,629,16354,0,65
2025-01-01,zambales,Extraction,Zam-EX-E1,374,0,1400,105
2025-01-01,zambales,Extraction,Zam-EX-E2,407,0,1400,124
2025-01-01,zambales,Stockpiling,Zam-EX-S1,791,0,1400,99
2025-01-01,rIZAL,Loading,Riz-EX-L1,206,0,1400,93
2025-01-01,rIZAL,Loading,Riz-EX-L2,298,0,1400,91
2025-01-01,rIZAL,Drilling,Riz-DR-1,584,15184,0,64
2025-01-01,rIZAL,Blasting,BLAST,504,37800,0,20
2025-01-01,rIZAL,Extraction,Riz-EX-E1,354,0,1400,70
2025-01-01,rIZAL,Extraction,Riz-EX-E2,524,0,1400,121
2025-01-01,rIZAL,Stockpiling,Riz-EX-S1,504,0,1400,101
2025-01-01,bULACAN,Loading,Bul-EX-L1,529,0,1400,110
2025-01-01,bULACAN,Drilling,Bul-DR-1,600,15600,0,66
2025-01-01,bULACAN,Extraction,Bul-EX-E1,588,0,1400,82
2025-01-01,bULACAN,Stockpiling,Bul-EX-S1,529,0,1400,73
2025-01-01,pampanga,Loading,Pam-EX-L1,442,0,1400,90
2025-01-01,pampanga,Drilling,Pam-DR-1,889,23114,0,41
2025-01-01,pampanga,Extraction,Pam-EX-E1,334,0,1400,87
2025-01-01,pampanga,Stockpiling,Pam-EX-S1,442,0,1400,81
2025-01-01,tARLAC,Loading,Tar-EX-L1,525,0,1400,90
2025-01-01,tARLAC,Drilling,Tar-DR-1,874,22724,0,42
2025-01-01,tARLAC,Extraction,Tar-EX-E1,359,0,1400,91
2025-01-01,tARLAC,Stockpiling,Tar-EX-S1,525,0,1400,90
2025-01-02,zAMBALES,Loading,Zam-EX-L1,553,0,1400,119
2025-01-02,zAMBALES,Loading,Zam-EX-L2,553,0,1400,72
2025-01-02,zAMBALES,Drilling,Zam-DR-1,419,10894,0,69
2025-01-02,zAMBALES,Extraction,Zam-EX-E1,584,0,1400,114
2025-01-02,zAMBALES,Extraction,Zam-EX-E2,256,0,1400,102
2025-01-02,zAMBALES,Stockpiling,Zam-EX-S1,1106,0,1400,92
2025-01-02,Rizal,Loading,Riz-EX-L1,544,0,1400,76
2025-01-02,Rizal,Loading,Riz-EX-L2,360,0,1400,105
2025-01-02,Rizal,Drilling,Riz-DR-1,874,22724,0,62
2025-01-02,Rizal,Blasting,BLAST,904,67800,0,44
2025-01-02,Rizal,Extraction,Riz-EX-E1,575,0,1400,134
2025-01-02,Rizal,Extraction,Riz-EX-E2,355,0,1400,88
2025-01-02,Rizal,Stockpiling,Riz-EX-S1,904,0,1400,93
2025-01-02,Bulacan,Loading,Bul-EX-L1,308,0,1400,83
2025-01-02,Bulacan,Drilling,Bul-DR-1,597,15522,0,69
2025-01-02,Bulacan,Blasting,BLAST,308,23100,0,41
2025-01-02,Bulacan,Extraction,Bul-EX-E1,398,0,1400,94
2025-01-02,Bulacan,Stockpiling,Bul-EX-S1,308,0,1400,79
2025-01-02,pampanga,Loading,Pam-EX-L1,538,0,1400,113
2025-01-02,pampanga,Drilling,Pam-DR-1,526,13676,0,40
2025-01-02,pampanga,Extraction,Pam-EX-E1,577,0,1400,86
2025-01-02,pampanga,Stockpiling,Pam-EX-S1,538,0,1400,86
2025-01-02,Tarlac,Loading,Tar-EX-L1,272,0,1400,90
2025-01-02,Tarlac,Drilling,Tar-DR-1,453,11778,0,58
2025-01-02,Tarlac,Blasting,BLAST,272,20400,0,24
2025-01-02,Tarlac,Extraction,Tar-EX-E1,280,0,1400,74
2025-01-02,Tarlac,Stockpiling,Tar-EX-S1,272,0,1400,73
2025-01-03,Zambales,Loading,Zam-EX-L1,339,0,1400,118
2025-01-03,Zambales,Loading,Zam-EX-L2,593,0,1400,116
2025-01-03,Zambales,Drilling,Zam-DR-1,662,17212,0,49
2025-01-03,Zambales,Extraction,Zam-EX-E1,427,0,1400,122
2025-01-03,Zambales,Extraction,Zam-EX-E2,221,0,1400,124
2025-01-03,Zambales,Stockpiling,Zam-EX-S1,932,0,1400,70
2025-01-03,Rizal,Loading,Riz-EX-L1,291,0,1400,103
2025-01-03,Rizal,Loading,Riz-EX-L2,533,0,1400,73
2025-01-03,Rizal,Drilling,Riz-DR-1,765,19890,0,63
2025-01-03,Rizal,Extraction,Riz-EX-E1,321,0,1400,104
2025-01-03,Rizal,Extraction,Riz-EX-E2,563,0,1400,87
2025-01-03,Rizal,Stockpiling,Riz-EX-S1,824,0,1400,60
2025-01-03,bulacan,Loading,Bul-EX-L1,279,0,1400,102
2025-01-03,bulacan,Drilling,Bul-DR-1,702,18252,0,44
2025-01-03,bulacan,Blasting,BLAST,279,20925,0,42
2025-01-03,bulacan,Extraction,Bul-EX-E1,414,0,1400,137
2025-01-03,bulacan,Stockpiling,Bul-EX-S1,279,0,1400,75
2025-01-03,PAMPANGA,Loading,Pam-EX-L1,559,0,1400,89
